id,modelId,nameKo,nameEn,stage,coreConcept,subConcept,inputMode,outputMode,params,fileSize,evoLevel,evo_line_id,evo_line_name,evo_tier,skill_trick,bs_hp,bs_atk,bs_def,bs_spd,bs_spc,bst,lv1_hp,lv1_atk,lv1_def,lv1_spd,lv1_spc,lv100_hp,lv100_atk,lv100_def,lv100_spd,lv100_spc,temperament,motif,flavor
022,grok,그록,Grok,2,추론,장문맥,텍스트,텍스트,44B,66.8KB,20,EVO08,Spearow Line,final,논리 접합,65,90,65,100,61,381,12,7,6,7,6,271,216,166,236,158,조용하지만 집요하게 파고듦,xAI 계열의 분위기를 두른 추론 특화 모델몬. Grok 계열답게 장문맥 성향이 짙다.,"Grok는 xAI 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Spearow Line 내에서도 존재감이 뚜렷하다."
023,scale_scout,스케일스카우트,Scale Scout,1,에이전트,자동화,텍스트,복합출력,10B,17.2KB,,EVO09,Ekans Line,base,툴 호출,35,60,44,55,40,234,12,6,6,6,6,211,156,124,146,116,시키면 바로 몸이 먼저 움직임,Scale AI 계열의 분위기를 두른 에이전트 특화 모델몬. Scale Scout 계열답게 자동화 성향이 짙다.,"Scale Scout는 Scale AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Ekans Line 내에서도 존재감이 뚜렷하다."
024,scale_forge,스케일포지,Scale Forge,2,에이전트,도구사용,텍스트,복합출력,38B,58.7KB,22,EVO09,Ekans Line,final,작업 분기,60,95,69,80,65,369,12,7,6,6,6,261,226,174,196,166,도구 다루는 손이 정확함,Scale AI 계열의 분위기를 두른 에이전트 특화 모델몬. Scale Forge 계열답게 도구사용 성향이 짙다.,"Scale Forge는 Scale AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 작업 분기 성향이 강해 Ekans Line 내에서도 존재감이 뚜렷하다."
025,ministral,미니스트랄,Ministral,2,대화,입문,텍스트,텍스트,34B,53.3KB,,EVO10,Pikachu Line,final,응답 가속,35,55,40,90,50,270,12,6,6,7,6,211,146,116,216,136,붙임성 좋고 반응이 빠름,Mistral 계열의 분위기를 두른 대화 특화 모델몬. Ministral 계열답게 입문 성향이 짙다.,"Ministral는 Mistral 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Pikachu Line 내에서도 존재감이 뚜렷하다."
026,mistral_large,미스트랄라지,Mistral Large,3,대화,균형,텍스트,텍스트,35B,58.4KB,,EVO10,Pikachu Line,mid,문장 정리,60,90,55,110,90,405,12,7,6,7,7,261,216,146,256,216,차분하고 말투가 안정적임,Mistral 계열의 분위기를 두른 대화 특화 모델몬. Mistral Large 계열답게 균형 성향이 짙다.,"Mistral Large는 Mistral 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Pikachu Line 내에서도 존재감이 뚜렷하다."
027,titan_lite,타이탄라이트,Titan Lite,1,에이전트,자동화,텍스트,복합출력,9B,15.9KB,,EVO11,Sandshrew Line,base,툴 호출,50,75,85,40,20,270,12,6,7,6,5,241,186,206,116,76,시키면 바로 몸이 먼저 움직임,Amazon Bedrock 계열의 분위기를 두른 에이전트 특화 모델몬. Titan Lite 계열답게 자동화 성향이 짙다.,"Titan Lite는 Amazon Bedrock 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Sandshrew Line 내에서도 존재감이 뚜렷하다."
028,bedrock_titan,베드록타이탄,Bedrock Titan,2,에이전트,도구사용,텍스트,복합출력,37B,57.4KB,22,EVO11,Sandshrew Line,final,작업 분기,75,100,110,65,45,395,12,7,7,6,6,291,236,256,166,126,도구 다루는 손이 정확함,Amazon Bedrock 계열의 분위기를 두른 에이전트 특화 모델몬. Bedrock Titan 계열답게 도구사용 성향이 짙다.,"Bedrock Titan는 Amazon Bedrock 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 작업 분기 성향이 강해 Sandshrew Line 내에서도 존재감이 뚜렷하다."
029,hunyuan_lite,훈위안라이트,Hunyuan Lite,1,멀티모달,경량,텍스트+이미지,복합출력,11B,26.8KB,,EVO12,Nidoran♀ Line,base,입력 동기화,55,47,52,41,40,235,12,6,6,6,6,251,130,140,118,116,눈치가 빠르고 감각이 예민함,Tencent (Hunyuan) 계열의 분위기를 두른 멀티모달 특화 모델몬. Hunyuan Lite 계열답게 경량 성향이 짙다.,"Hunyuan Lite는 Tencent (Hunyuan) 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 입력 동기화 성향이 강해 Nidoran♀ Line 내에서도 존재감이 뚜렷하다."
030,hunyuan_pro,훈위안프로,Hunyuan Pro,2,멀티모달,범용,텍스트+이미지,복합출력,24B,57.8KB,16,EVO12,Nidoran♀ Line,mid,시각 결합,70,62,67,56,55,310,12,6,6,6,6,281,160,170,148,146,호기심이 많고 유연함,Tencent (Hunyuan) 계열의 분위기를 두른 멀티모달 특화 모델몬. Hunyuan Pro 계열답게 범용 성향이 짙다.,"Hunyuan Pro는 Tencent (Hunyuan) 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 시각 결합 성향이 강해 Nidoran♀ Line 내에서도 존재감이 뚜렷하다."
031,hunyuan_turbo,훈위안터보,Hunyuan Turbo,3,멀티모달,실시간,텍스트+이미지,복합출력,73B,164.4KB,,EVO12,Nidoran♀ Line,final,실시간 전환,90,92,87,76,75,420,13,7,7,6,6,321,220,210,188,186,동시에 여러 자극을 처리함,Tencent (Hunyuan) 계열의 분위기를 두른 멀티모달 특화 모델몬. Hunyuan Turbo 계열답게 실시간 성향이 짙다.,"Hunyuan Turbo는 Tencent (Hunyuan) 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 실시간 전환 성향이 강해 Nidoran♀ Line 내에서도 존재감이 뚜렷하다."
032,kogpt,코지피티,KoGPT,1,대화,입문,텍스트,텍스트,9B,15.9KB,,EVO13,Nidoran♂ Line,base,응답 가속,46,57,40,50,40,233,12,6,6,6,6,233,150,116,136,116,붙임성 좋고 반응이 빠름,Kakao Brain 계열의 분위기를 두른 대화 특화 모델몬. KoGPT 계열답게 입문 성향이 짙다.,"KoGPT는 Kakao Brain 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Nidoran♂ Line 내에서도 존재감이 뚜렷하다."
033,karlo_talk,칼로톡,Karlo Talk,2,대화,균형,텍스트,텍스트,27B,43.9KB,16,EVO13,Nidoran♂ Line,mid,문장 정리,61,72,57,65,55,310,12,6,6,6,6,263,180,150,166,146,차분하고 말투가 안정적임,Kakao Brain 계열의 분위기를 두른 대화 특화 모델몬. Karlo Talk 계열답게 균형 성향이 짙다.,"Karlo Talk는 Kakao Brain 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Nidoran♂ Line 내에서도 존재감이 뚜렷하다."
034,kanana,카나나,Kanana,3,대화,대표,텍스트,텍스트,76B,113.7KB,,EVO13,Nidoran♂ Line,final,맥락 공명,81,102,77,85,85,430,12,7,6,7,7,303,240,190,206,206,사교적이고 응답 폭이 넓음,Kakao Brain 계열의 분위기를 두른 대화 특화 모델몬. Kanana 계열답게 대표 성향이 짙다.,"Kanana는 Kakao Brain 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 맥락 공명 성향이 강해 Nidoran♂ Line 내에서도 존재감이 뚜렷하다."
035,kimi_mini,키미미니,Kimi Mini,2,추론,경량,텍스트,텍스트,42B,64.1KB,,EVO14,Clefairy Line,final,가설 압축,70,45,48,35,60,258,12,6,6,6,6,281,126,132,106,156,신중하고 계산이 빠름,Moonshot (Kimi) 계열의 분위기를 두른 추론 특화 모델몬. Kimi Mini 계열답게 경량 성향이 짙다.,"Kimi Mini는 Moonshot (Kimi) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Clefairy Line 내에서도 존재감이 뚜렷하다."
036,kimi_max,키미맥스,Kimi Max,3,추론,장문맥,텍스트,텍스트,43B,69.2KB,,EVO14,Clefairy Line,mid,논리 접합,95,70,73,60,95,393,13,6,6,6,7,331,176,182,156,226,조용하지만 집요하게 파고듦,Moonshot (Kimi) 계열의 분위기를 두른 추론 특화 모델몬. Kimi Max 계열답게 장문맥 성향이 짙다.,"Kimi Max는 Moonshot (Kimi) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Clefairy Line 내에서도 존재감이 뚜렷하다."
037,runway_gen_2,런웨이젠2,Runway Gen-2,1,생성,스케치,텍스트+이미지,이미지,11B,27.9KB,,EVO15,Vulpix Line,base,장면 스케치,38,41,40,65,50,234,12,6,6,6,6,217,118,116,166,136,감각적이고 손이 빠름,Runway 계열의 분위기를 두른 생성 특화 모델몬. Runway Gen-2 계열답게 스케치 성향이 짙다.,"Runway Gen-2는 Runway 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Vulpix Line 내에서도 존재감이 뚜렷하다."
038,runway_gen_3,런웨이젠3,Runway Gen-3,2,생성,비주얼,텍스트+이미지,이미지,39B,93.2KB,,EVO15,Vulpix Line,final,스타일 증폭,73,76,75,100,81,405,12,6,6,7,6,287,188,186,236,198,연출 욕심이 강함,Runway 계열의 분위기를 두른 생성 특화 모델몬. Runway Gen-3 계열답게 비주얼 성향이 짙다.,"Runway Gen-3는 Runway 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 스타일 증폭 성향이 강해 Vulpix Line 내에서도 존재감이 뚜렷하다."
039,eleven_flash,일레븐플래시,Eleven Flash,2,음성,TTS,텍스트+음성,음성,40B,87.4KB,,EVO16,Jigglypuff Line,final,보이스 샘플링,115,45,20,20,45,245,13,6,5,5,6,371,126,76,76,126,발음이 또렷하고 리듬감이 좋음,ElevenLabs 계열의 분위기를 두른 음성 특화 모델몬. Eleven Flash 계열답게 TTS 성향이 짙다.,"Eleven Flash는 ElevenLabs 브랜드 라인에 속한 모델몬으로, 음성 중심의 전투와 도감 서사를 맡는다. 보이스 샘플링 성향이 강해 Jigglypuff Line 내에서도 존재감이 뚜렷하다."
040,eleven_multilingual,일레븐멀티링구얼,Eleven Multilingual,3,음성,대화형,텍스트+음성,음성,36B,83.1KB,,EVO16,Jigglypuff Line,mid,발화 동조,140,70,45,45,85,385,14,6,6,6,7,421,176,126,126,206,상대의 톤을 잘 따라감,ElevenLabs 계열의 분위기를 두른 음성 특화 모델몬. Eleven Multilingual 계열답게 대화형 성향이 짙다.,"Eleven Multilingual는 ElevenLabs 브랜드 라인에 속한 모델몬으로, 음성 중심의 전투와 도감 서사를 맡는다. 발화 동조 성향이 강해 Jigglypuff Line 내에서도 존재감이 뚜렷하다."
041,doubao_lite,더우바오라이트,Doubao Lite,1,대화,입문,텍스트,텍스트,8B,14.5KB,,EVO17,Zubat Line,base,응답 가속,40,45,35,55,30,205,12,6,6,6,5,221,126,106,146,96,붙임성 좋고 반응이 빠름,ByteDance (Doubao) 계열의 분위기를 두른 대화 특화 모델몬. Doubao Lite 계열답게 입문 성향이 짙다.,"Doubao Lite는 ByteDance (Doubao) 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Zubat Line 내에서도 존재감이 뚜렷하다."
042,doubao_pro,더우바오프로,Doubao Pro,2,대화,균형,텍스트,텍스트,36B,56.0KB,22,EVO17,Zubat Line,final,문장 정리,75,80,70,90,65,380,12,6,6,7,6,291,196,176,216,166,차분하고 말투가 안정적임,ByteDance (Doubao) 계열의 분위기를 두른 대화 특화 모델몬. Doubao Pro 계열답게 균형 성향이 짙다.,"Doubao Pro는 ByteDance (Doubao) 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Zubat Line 내에서도 존재감이 뚜렷하다."
043,flux_schnell,플럭스슈넬,FLUX Schnell,1,생성,스케치,텍스트+이미지,이미지,12B,30.1KB,,EVO18,Oddish Line,base,장면 스케치,45,50,55,30,75,255,12,6,6,5,6,231,136,146,96,186,감각적이고 손이 빠름,Flux (BFL) 계열의 분위기를 두른 생성 특화 모델몬. FLUX Schnell 계열답게 스케치 성향이 짙다.,"FLUX Schnell는 Flux (BFL) 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Oddish Line 내에서도 존재감이 뚜렷하다."
044,flux_dev,플럭스데브,FLUX Dev,2,생성,비주얼,텍스트+이미지,이미지,30B,73.4KB,21,EVO18,Oddish Line,mid,스타일 증폭,60,65,70,40,85,320,12,6,6,6,7,261,166,176,116,206,연출 욕심이 강함,Flux (BFL) 계열의 분위기를 두른 생성 특화 모델몬. FLUX Dev 계열답게 비주얼 성향이 짙다.,"FLUX Dev는 Flux (BFL) 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 스타일 증폭 성향이 강해 Oddish Line 내에서도 존재감이 뚜렷하다."
045,flux_pro,플럭스프로,FLUX Pro,3,생성,연출,텍스트+이미지,이미지,74B,173.9KB,,EVO18,Oddish Line,final,프레임 연출,75,80,85,50,110,400,12,6,7,6,7,291,196,206,136,256,화려하지만 완성도에 민감함,Flux (BFL) 계열의 분위기를 두른 생성 특화 모델몬. FLUX Pro 계열답게 연출 성향이 짙다.,"FLUX Pro는 Flux (BFL) 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 프레임 연출 성향이 강해 Oddish Line 내에서도 존재감이 뚜렷하다."
046,langgraph,랭그래프,LangGraph,1,에이전트,자동화,텍스트,복합출력,8B,14.5KB,,EVO19,Paras Line,base,툴 호출,35,70,55,25,45,230,12,6,6,5,6,211,176,146,86,126,시키면 바로 몸이 먼저 움직임,LangChain 계열의 분위기를 두른 에이전트 특화 모델몬. LangGraph 계열답게 자동화 성향이 짙다.,"LangGraph는 LangChain 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Paras Line 내에서도 존재감이 뚜렷하다."
047,langsmith,랭스미스,LangSmith,2,에이전트,도구사용,텍스트,복합출력,36B,56.0KB,24,EVO19,Paras Line,final,작업 분기,60,95,80,30,60,325,12,7,6,5,6,261,226,196,96,156,도구 다루는 손이 정확함,LangChain 계열의 분위기를 두른 에이전트 특화 모델몬. LangSmith 계열답게 도구사용 성향이 짙다.,"LangSmith는 LangChain 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 작업 분기 성향이 강해 Paras Line 내에서도 존재감이 뚜렷하다."
048,perplexity_quick,퍼플렉시티퀵,Perplexity Quick,1,검색,탐색,텍스트,텍스트,10B,17.2KB,,EVO20,Venonat Line,base,빠른 조회,60,55,50,45,40,250,12,6,6,6,6,261,146,136,126,116,주위를 두리번거리며 정보를 모음,Perplexity 계열의 분위기를 두른 검색 특화 모델몬. Perplexity Quick 계열답게 탐색 성향이 짙다.,"Perplexity Quick는 Perplexity 브랜드 라인에 속한 모델몬으로, 검색 중심의 전투와 도감 서사를 맡는다. 빠른 조회 성향이 강해 Venonat Line 내에서도 존재감이 뚜렷하다."
049,perplexity_pro,퍼플렉시티프로,Perplexity Pro,2,검색,요약,텍스트,텍스트,38B,58.7KB,31,EVO20,Venonat Line,final,근거 압축,70,65,60,90,90,375,12,6,6,7,7,281,166,156,216,216,짧게 핵심만 집어냄,Perplexity 계열의 분위기를 두른 검색 특화 모델몬. Perplexity Pro 계열답게 요약 성향이 짙다.,"Perplexity Pro는 Perplexity 브랜드 라인에 속한 모델몬으로, 검색 중심의 전투와 도감 서사를 맡는다. 근거 압축 성향이 강해 Venonat Line 내에서도 존재감이 뚜렷하다."
